sensor_id,time,temperature,pressure,humidity,gas_resistance,smell
0,72591,26.482641,9.125645,45.470913,25211.738281,air
1,72646,26.255136,9.126017,46.105385,25790.851562,air
2,72701,26.408092,9.127983,45.616447,22307.423828,air
3,72756,26.426472,9.127609,45.489349,28571.427734,air
4,72811,27.151056,9.130359,43.77668,20969.855469,air
5,72866,26.929001,9.129108,44.160213,18166.335938,air
6,72921,27.031193,9.12653,43.635265,16846.539062,air
7,72977,27.030951,9.127439,43.262821,26545.001953,air
0,75591,26.545446,9.126065,45.380836,27538.726562,air
1,75646,26.318777,9.126009,46.00259,27972.027344,air
2,75701,26.453678,9.127723,45.523758,24643.820312,air
3,75756,26.482101,9.12762,45.344112,31000.242188,air
4,75811,27.191401,9.130403,43.678295,22906.228516,air
5,75866,26.966885,9.12929,44.048431,19912.880859,air
6,75921,27.048809,9.126688,43.540371,18385.521484,air
7,75976,27.041162,9.127609,43.173126,28841.820312,air
0,78591,26.580618,9.125974,45.299667,29581.697266,air
1,78646,26.362055,9.126178,45.921909,30103.480469,air
2,78701,26.494198,9.128056,45.430496,26611.226562,air
3,78756,26.527618,9.127621,45.270607,33429.09375,air
4,78811,27.221661,9.130386,43.57272,25063.638672,air
5,78866,26.992142,9.129342,43.9291,21347.564453,air
6,78922,27.086557,9.126749,43.466042,19968.798828,air
7,78976,27.06669,9.127445,43.091316,31204.291016,air
0,81591,26.628351,9.125996,45.207851,31809.144531,air
1,81646,26.41297,9.126359,45.817657,32339.566406,air
2,81701,26.542318,9.12792,45.313671,28571.427734,air
3,81756,26.578196,9.127609,45.179539,35694.367188,air
4,81811,27.272091,9.13026,43.475616,26896.40625,air
5,81866,27.035076,9.129122,43.848576,22832.679688,air
6,81921,27.12179,9.126684,43.379337,21454.912109,air
7,81976,27.099878,9.127518,43.04068,33350.703125,air
0,84590,26.666035,9.125663,45.127041,33826.636719,air
1,84646,26.458792,9.126008,45.712826,34454.914062,air
2,84701,26.587902,9.127964,45.221111,30210.054688,air
3,84756,26.636356,9.127744,45.053005,37713.613281,air
4,84811,27.304874,9.129745,43.352272,28381.375,air
5,84867,27.075485,9.12902,43.731148,24743.863281,air
6,84921,27.149471,9.126751,43.26759,22881.658203,air
7,84976,27.122854,9.127526,42.940475,35398.230469,air
0,87591,26.716278,9.125723,45.011246,36147.980469,air
1,87646,26.514797,9.126162,45.597034,36301.757812,air
2,87701,26.64362,9.127975,45.12368,32000.0,air
3,87756,26.68693,9.127891,44.94989,39640.753906,air
4,87811,27.360348,9.130119,43.243748,29913.53125,air
5,87866,27.110846,9.128963,43.637615,25979.296875,air
6,87922,27.167088,9.126633,43.178925,24629.59375,air
7,87976,27.145828,9.127518,42.83427,37613.871094,air
0,90591,26.758987,9.12569,44.918938,38117.925781,air
1,90646,26.555531,9.126118,45.461082,38288.960938,air
2,90701,26.681606,9.128018,44.993572,33719.703125,air
3,90756,26.737503,9.128002,44.798351,41612.484375,air
4,90812,27.393127,9.130194,43.11451,31620.552734,air
5,90866,27.153782,9.129022,43.508392,27292.111328,air
6,90921,27.194769,9.126421,43.091465,25995.125,air
7,90976,27.168804,9.127668,42.758347,39348.292969,air
0,93590,26.791647,9.125734,44.788986,40087.691406,air
1,93646,26.588623,9.126061,45.336555,40238.917969,air
2,93701,26.719595,9.12826,44.869667,35339.589844,air
3,93756,26.770376,9.127975,44.675083,43700.921875,air
4,93811,27.428431,9.130146,43.015858,32938.753906,air
5,93866,27.194189,9.129274,43.42165,28552.308594,air
6,93921,27.232517,9.126688,43.01125,27379.679688,air
7,93976,27.201992,9.127583,42.653427,41290.324219,air
0,96591,26.796671,9.126035,44.649746,41857.421875,air
1,96646,26.596258,9.126318,45.202927,41939.710938,air
2,96701,26.739857,9.128264,44.731506,37090.699219,air
3,96756,26.798193,9.128034,44.53315,45470.691406,air
4,96811,27.458691,9.130219,42.910629,34454.914062,air
5,96866,27.219446,9.129287,43.28442,29725.962891,air
6,96921,27.272781,9.126613,42.919289,28590.574219,air
7,96976,27.232626,9.127776,42.59053,43039.675781,air
0,99591,26.821793,9.125742,44.531219,43656.207031,air
1,99646,26.631901,9.126197,45.084976,43835.617188,air
2,99701,26.772778,9.128199,44.576641,38461.539062,air
3,99756,26.833597,9.128078,44.404316,48229.089844,air
4,99812,27.496515,9.130385,42.770123,35934.867188,air
5,99866,27.249752,9.129331,43.166149,30732.292969,air
6,99921,27.325628,9.126743,42.804676,29767.441406,air
7,99976,27.27858,9.12783,42.493191,45086.296875,air
0,102591,26.85194,9.126064,44.43158,45373.980469,air
1,102646,26.657358,9.125815,44.978085,45422.285156,air
2,102701,26.810766,9.128331,44.452995,40087.691406,air
3,102756,26.876583,9.128059,44.282494,49834.535156,air
4,102811,27.546947,9.130346,42.679417,37220.121094,air
5,102866,27.307842,9.129498,43.087685,31928.162109,air
6,102921,27.373444,9.126639,42.713673,31204.291016,air
7,102976,27.327084,9.127744,42.396198,46613.253906,air
0,105590,26.879574,9.126037,44.343826,47850.46875,air
1,105646,26.672632,9.12575,44.900551,47958.035156,air
2,105701,26.838627,9.128299,44.334332,41653.109375,air
3,105756,26.896814,9.128183,44.152027,51612.902344,air
4,105811,27.579727,9.130258,42.562603,38496.242188,air
5,105866,27.330572,9.129292,42.974728,33066.390625,air
6,105921,27.416225,9.126706,42.585953,32266.195312,air
7,105976,27.373035,9.127902,42.298958,48752.617188,air
0,108591,26.919769,9.125964,44.239403,49545.191406,air
1,108646,26.723545,9.125844,44.790703,49516.441406,air
2,108701,26.88168,9.128271,44.260189,43126.683594,air
3,108756,26.949917,9.127818,44.043629,53691.273438,air
4,108811,27.62764,9.130307,42.459652,39937.597656,air
5,108866,27.373508,9.129108,42.858101,34206.308594,air
6,108921,27.44894,9.126742,42.481262,33429.09375,air
7,108976,27.401117,9.127652,42.187664,50662.972656,air
0,111590,26.959967,9.125772,44.17746,51271.78125,air
1,111646,26.77446,9.12557,44.723587,51057.039062,air
2,111701,26.919668,9.128223,44.167187,44290.65625,air
3,111756,27.003021,9.127489,43.971466,54935.621094,air
4,111811,27.693201,9.130169,42.358765,40894.570312,air
5,111866,27.434122,9.129251,42.773956,35078.105469,air
6,111921,27.489206,9.126284,42.359425,34399.355469,air
7,111976,27.444515,9.127613,42.072163,51926.976562,air
0,114591,27.02026,9.125753,44.09367,52761.746094,air
